IfcGUID,BLOCK_RFID,BLOCK_BUILDING,BLOCK_SCHEDULE,BLOCK_COLOR,BLOCK_LAYER,BLOCK_LENGTH,BLOCK_WIDTH
2tQH9P2Ob72uMNUR3T$sfu,030200000000000000004809,B,67,Red,4,2,4
2tQH9P2Ob72uMNUR3T$sfv,050200000000000000006482,B,64,Yellow,4,2,4
2tQH9P2Ob72uMNUR3T$sfw,030200000000000000008144,B,66,Red,4,2,4
2tQH9P2Ob72uMNUR3T$sfx,050200000000000000007972,B,62,Yellow,4,2,4
2tQH9P2Ob72uMNUR3T$se4,020200000000000000009063,B,61,Blue,4,2,4
2tQH9P2Ob72uMNUR3T$se5,020200000000000000008180,B,60,Blue,4,2,4
2tQH9P2Ob72uMNUR3T$se6,010200000000000000006919,B,63,Green,4,2,4
2tQH9P2Ob72uMNUR3T$sjl,010200000000000000008843,B,84,Green,5,2,4
2tQH9P2Ob72uMNUR3T$sNv,020200000000000000008869,B,100,Blue,6,2,4
2tQH9P2Ob72uMNUR3T$sRK,050200000000000000004860,B,101,Yellow,6,2,4
2tQH9P2Ob72uMNUR3T$sQl,040200000000000000005788,B,102,Gray,6,2,4
2tQH9P2Ob72uMNUR3T$sOV,050200000000000000007191,B,107,Yellow,6,2,4
2tQH9P2Ob72uMNUR3T$sOO,030200000000000000007564,B,108,Red,6,2,4
2tQH9P2Ob72uMNUR3T$sOP,010200000000000000003975,B,109,Green,6,2,4
2tQH9P2Ob72uMNUR3T$sVa,040100000000000000000010,B,105,Gray,6,2,2
2tQH9P2Ob72uMNUR3T$sTZ,050100000000000000009543,B,103,Yellow,6,2,2
2tQH9P2Ob72uMNUR3T$sSU,050100000000000000008808,B,106,Yellow,6,2,2
2tQH9P2Ob72uMNUR3T$s3Z,030100000000000000003170,B,104,Red,6,2,2
2tQH9P2Ob72uMNUR3T$s1L,010200000000000000005181,B,125,Green,7,2,4
2tQH9P2Ob72uMNUR3T$s0w,030200000000000000002879,B,126,Red,7,2,4
2tQH9P2Ob72uMNUR3T$s7v,030200000000000000004321,B,127,Red,7,2,4
2tQH9P2Ob72uMNUR3T$s5s,050200000000000000001038,B,120,Yellow,7,2,4
2tQH9P2Ob72uMNUR3T$sBf,020200000000000000004399,B,121,Blue,7,2,4
2tQH9P2Ob72uMNUR3T$sAW,020200000000000000005756,B,122,Blue,7,2,4
2tQH9P2Ob72uMNUR3T$s8o,050100000000000000007003,B,123,Yellow,7,2,2
2tQH9P2Ob72uMNUR3T$sFx,030100000000000000009976,B,124,Red,7,2,2
2tQH9P2Ob72uMNUR3T$rzN,040100000000000000000927,B,142,Gray,8,2,2
2tQH9P2Ob72uMNUR3T$rZ6,040100000000000000005900,B,136,Gray,8,2,2
2tQH9P2Ob72uMNUR3T$rYd,050100000000000000008212,B,137,Yellow,8,2,2
2tQH9P2Ob72uMNUR3T$rXe,010100000000000000000563,B,143,Green,8,2,2
2tQH9P2Ob72uMNUR3T$rWZ,040100000000000000004625,B,144,Gray,8,2,2
2tQH9P2Ob72uMNUR3T$rdW,020100000000000000008427,B,138,Blue,8,2,2
2tQH9P2Ob72uMNUR3T$rb3,010100000000000000006368,B,145,Green,8,2,2
2tQH9P2Ob72uMNUR3T$rb_,050100000000000000005711,B,139,Yellow,8,2,2
2tQH9P2Ob72uMNUR3T$raf,010100000000000000001713,B,146,Green,8,2,2
2tQH9P2Ob72uMNUR3T$rhy,050100000000000000005645,B,140,Yellow,8,2,2
2tQH9P2Ob72uMNUR3T$rgv,040100000000000000006307,B,147,Gray,8,2,2
2tQH9P2Ob72uMNUR3T$rlG,020100000000000000000446,B,141,Blue,8,2,2
2tQH9P2Ob72uMNUR3T$rjC,020100000000000000008490,B,160,Blue,9,2,2
2tQH9P2Ob72uMNUR3T$rit,040100000000000000003667,B,161,Gray,9,2,2
2tQH9P2Ob72uMNUR3T$rJQ,020100000000000000006991,B,162,Blue,9,2,2
2tQH9P2Ob72uMNUR3T$rIR,020100000000000000004453,B,163,Blue,9,2,2
2tQH9P2Ob72uMNUR3T$rG0,020100000000000000002781,B,164,Blue,9,2,2
